tick,theta1_rad,theta2_rad,x,y,ds2_total,target_term,obs_term,reg_term,grad_norm,C,S,ds2_CS,d_obs,delta_theta1,delta_theta2,delta_theta_sq
25,-0.5358357969800303,1.56765327374823,1.2357918718213488,0.3129060355642186,0.05634075960283608,0.0014476238424607373,0.0,0.05489313576037534,0.022723667977268828,2,0,-4,0.6704925683807142,0.0014320883541463021,-0.0023205129151183655,7.435657243312599e-06
26,-0.5344037086258839,1.5653327608331118,1.2371351737655158,0.3136040411982897,0.05628117058613004,0.0015640910675198242,0.0,0.05471707951861021,0.020982769856600855,2,0,-4,0.6719880326802365,0.0013209064474139455,-0.002143639345014311,6.339983484313114e-06
27,-0.53308280217847,1.5631891214880975,1.2383749875673726,0.31424662910510837,0.05623035618199813,0.0016756061116545286,0.0,0.0545547500703436,0.01938000210455009,2,0,-4,0.6733678362043625,0.0012187673730362763,-0.001980662168332682,5.4084165346420686e-06
28,-0.5318640348054338,1.5612084593197648,1.2395195989680938,0.31483848416387555,0.05618700341430274,0.0017819793148805521,0.0,0.05440502409942218,0.017903728342501504,2,0,-4,0.6746413059857389,0.0011248750535726782,-0.001830432284774278,4.61582623529412e-06
29,-0.530739159751861,1.5593780270349906,1.2405765873271668,0.3153838528571214,0.05615000010572179,0.0018831223678487594,0.0,0.05426687773787303,0.01654338717139169,2,0,-4,0.6758169636101905,0.0010385126315139816,-0.001691903131170006,3.941044691076965e-06
30,-0.529700647120347,1.5576861239038207,1.241552891329835,0.3158865909078447,0.056118403271786764,0.0019790265485422984,0.0,0.05413937672324447,0.015289380013341956,1,1,0,0.6769026019358193,0.000959033100466512,-0.0015641206939938708,3.366218033170279e-06
31,-0.5287416140198805,1.5561220032098269,1.2424548680449994,0.3163502045414924,0.05609141267466922,0.002069745009266952,0.0,0.05402166766540226,0.014132972317509805,1,1,0,0.6779053536297402,0.0008858513385855781,-0.001446214527627944,2.876269053995978e-06
32,-0.527855762681295,1.554675788682199,1.2432883459876602,0.316777886515107,0.05606834865647057,0.0021553783742611953,0.0,0.05391297028220937,0.013066206333126646,1,1,0,0.6788317524729499,0.0008184372556309319,-0.0013373897072016775,2.45845077033368e-06
33,-0.5270373254256641,1.5533383989749971,1.2440586728193561,0.3171725477611225,0.056048633529652,0.002236063047211108,0.0,0.0538125704824409,0.012081823919292712,1,1,0,0.6796877882784768,0.0007563098498335407,-0.0012369196286608896,2.101974756721826e-06
34,-0.5262810155758305,1.5521014793463364,1.244770758270995,0.3175368453033281,0.056031775930245,0.0023119617393527357,0.0,0.053719814190892265,0.011173198084782928,1,1,0,0.6804789561668149,0.0006990320229171374,-0.001144139567228688,1.797701118361875e-06
35,-0.5255819835529134,1.5509573397791077,1.2454291128143034,0.3178732069725127,0.05601735764357901,0.002383255818576982,0.0,0.05363410182500203,0.010334272139410699,1,1,0,0.6812103008504393,0.0006462060356001681,-0.0010584409104593777,1.537879401380162e-06
36,-0.5249357775173132,1.5498988988686482,1.2460378825499194,0.3181838533551575,0.05600502249716114,0.002450139152522052,0.0,0.053554883344639086,0.009559505497406582,0,2,4,0.6818864564973325,0.0005974695093919495,-0.0009792659896362046,1.315931693111232e-06
37,-0.5243383080079212,1.548919632879012,1.2466008807258597,0.31847081733711563,0.05599446698478016,0.0025128131775269008,0.0,0.05348165380725326,0.008843825307696469,0,2,4,0.6825116826717363,0.0005524918976106209,-0.000906103441405324,1.1262707434519562e-06
38,-0.5237858161103106,1.5480135294376067,1.247121616251096,0.3187359615480298,0.05598543234284923,0.002571482973244818,0.0,0.05341394936960441,0.008182583199952954,0,2,4,0.68308989678795,0.0005109713615758262,-0.0008384840393932014,9.641472166677933e-07
39,-0.5232748447487348,1.5471750453982136,1.2476033195255547,0.31898099396688373,0.055977697846818476,0.0026263541618229383,0.0,0.053351343684995535,0.007571516532149566,0,2,4,0.6836247034588804,0.00047263199817135075,-0.0007759769427604151,8.255212213912443e-07
40,-0.5228022127505634,1.5463990684554532,1.2480489658697091,0.3192074819117687,0.05597107513407497,0.0026776304825394002,0.0,0.05329344465153557,0.007006713607824638,0,2,4,0.6841194210741994,0.00043722137323238457,-0.0007181863150817252,7.069541123818792e-07
41,-0.522364991377331,1.5456808821403714,1.248461296803556,0.319416864605905,0.05596540339162391,0.0027255119190063982,0.0,0.05323989147261751,0.006484582401648932,0,2,4,0.6845771059023488,0.00040450832196657627,-0.0006647482726281769,6.055172485023604e-07
42,-0.5219604830553644,1.5450161338677433,1.2488428393956426,0.31961046448584635,0.055960545273239536,0.002770193277579178,0.0,0.05319035199566036,0.006001822392072544,0,2,4,0.6850005739754448,0.00037428098322826546,-0.000615328126098461,5.187149571741607e-07
43,-0.5215862020721361,1.5444008057416447,1.2491959238773762,0.3197894973957311,0.05595638343267378,0.002811863133324248,0.0,0.05314452029934953,0.0055553991514082236,0,2,4,0.6853924209855754,0.00034634503914678636,-0.0005696178841921476,4.444194201331278e-07
44,-0.5212398570329894,1.5438311878574527,1.2495226996956468,0.3199550817926839,0.05595281757772042,0.002850703074497922,0.0,0.0531021145032225,0.005142521387988278,0,2,4,0.6857550403944164,0.0003205221355519556,-0.0005273339911995214,3.808155776532031e-07
45,-0.5209193348974374,1.5433038538662531,1.249825150157383,0.3201082470724499,0.05594976196510081,0.0028868871885324512,0.0,0.05306287477656836,0.004760620173139954,0,2,4,0.6860906399349666,0.0002966484619737024,-0.0004882152740774287,3.2635446383386195e-07
46,-0.5206226864354636,1.5428156385921756,1.2501051058026589,0.32024994111064803,0.0559471432687976,0.0029205817424803582,0.0,0.05302656152631724,0.004407330118583553,0,2,4,0.6864012566640086,0.00027457347281503215,-0.00045202107735634874,2.797136463481014e-07
47,-0.5203481129626486,1.5423636175148192,1.2503642566280886,0.32038103710323623,0.055944898765047234,0.0029519450191034624,0.0,0.052992953745943774,0.004080472298229342,0,2,4,0.6866887707062816,0.0002541587337110565,-0.00041852956672340096,2.397636601432855e-07
48,-0.5200939542289376,1.5419450879480958,1.2506041632691365,0.3205023397796485,0.05594297478606465,0.0029811272766095834,0.0,0.05296184750945507,0.0037780387329402684,0,2,4,0.6869549178158875,0.00023527687913796447,-0.0003875361843189551,2.0553950401339548e-07
49,-0.5198586773497996,1.541557551763777,1.2508262672384878,0.32061459105328666,0.05594132540200868,0.0030082708056924272,0.0,0.052933054596316254,0.003498178278125523,0,2,4,0.6872013008669239,0.0002178106691036011,-0.0003588522406904418,1.762164182239092e-07
50,-0.519640866680696,1.5411986995230864,1.251031900307459,0.3207184751664804,0.05593991129694086,0.003033510062214507,0.0,0.052906401234726355,0.0032391837725665035,0,2,4,0.6874294003734184,0.00020165213425803947,-0.00033230363002617836,1.5108928577939762e-07
51,-0.5194392145464379,1.5408663958930602,1.251222293108479,0.3208146233804263,0.05593869880978173,0.0030569718577599407,0.0,0.05288172695202179,0.0029994803230160875,0,2,4,0.6876405841281515,0.00018670180007061623,-0.0003077296567572024,1.2955510379751395e-07
52,-0.5192525127463673,1.5405586662363029,1.251398583028758,0.3209036182548987,0.055937659115694524,0.003078775593510665,0.0,0.05285888352218386,0.002777614613179945,0,2,4,0.6878361160407177,0.00017286798184230553,-0.00028498196290365374,1.1109805832665115e-07
53,-0.519079644764525,1.5402736842733993,1.25156182145823,0.3209859975575237,0.05593676752705512,0.003099033525574787,0.0,0.052837734001480334,0.002572245138015473,0,2,4,0.6880171642469832,0.00016006614329545183,-0.0002639235466781184,9.527680872063707e-08
54,-0.5189195786212295,1.5400097607267211,1.2517129804486395,0.32106225783803927,0.05593600289631757,0.003117851052117427,0.0,0.05281815184420014,0.0023821332750627775,0,2,4,0.6881848085548682,0.00014821831232864055,-0.0002444278638551106,8.171364873832293e-08
55,-0.5187713603089009,1.539765332862866,1.2518529588350917,0.32113285769914673,0.05593534710574691,0.0031353270144861087,0.0,0.0528000200912608,0.0022061351139910155,0,2,4,0.6883400472849556,0.00013725254825506974,-0.00022637800429931685,7.008526283305176e-08
56,-0.5186341077606459,1.5395389548585667,1.2519825878664599,0.32119822079218724,0.05593478463124233,0.003151554006048547,0.0,0.052783230625193786,0.002043193973880038,0,2,4,0.6884838035587151,0.0001271024554862876,-0.00020966593682310907,6.011483925455569e-08
